question_id,expanded_sample_id,source_model,source_split,source_row_index,partition,n_claims,n_hallucinations,gold_faithful,answer_length,n_chunks
2167,case_2b4c59c64fede26d,Llama-2-7b-chat-hf,train,0,train,2,0,True,561,1
2167,case_98df37b7be61eeec,Mistral-7B-Instruct-v0.3,train,0,train,1,0,True,294,1
2167,case_93a0685b5d40ccbb,Llama-2-7b-chat-hf,train,1,train,2,2,False,493,1
2167,case_0a9a90a88897b5d0,Mistral-7B-Instruct-v0.3,train,1,train,2,0,True,395,1
2034,case_8900ba6d41881e30,Llama-2-7b-chat-hf,train,4,train,3,1,False,470,2
2034,case_4b1add6bf64820b1,Mistral-7B-Instruct-v0.3,train,4,train,1,0,True,131,2
2034,case_4c60143d9410a52b,Llama-2-7b-chat-hf,train,5,train,3,2,False,798,2
2034,case_74156d19bfd4adc0,Mistral-7B-Instruct-v0.3,train,5,train,1,1,False,309,2
1017,case_1fbfc1c077cf1da8,Llama-2-7b-chat-hf,train,6,train,1,4,False,1613,5
1017,case_7635ed9378b5b066,Mistral-7B-Instruct-v0.3,train,6,train,1,0,True,242,5
1017,case_378ab0e967baab64,Llama-2-7b-chat-hf,train,7,train,1,1,False,1778,5
1017,case_ee90b45655be9341,Mistral-7B-Instruct-v0.3,train,7,train,1,2,False,442,5
2164,case_c74d1f933f9f9dc3,Llama-2-7b-chat-hf,train,8,train,1,0,True,423,3
2164,case_86a646f404cebe88,Mistral-7B-Instruct-v0.3,train,8,train,1,0,True,198,3
1660,case_34f59290ed0e4729,Llama-2-7b-chat-hf,train,9,train,4,2,False,1104,2
1660,case_ad2667598acd9162,Mistral-7B-Instruct-v0.3,train,9,train,2,1,False,437,2
555,case_c02fbc86a7732974,Llama-2-7b-chat-hf,train,10,train,1,0,True,1081,4
555,case_6d8276e88822e837,Mistral-7B-Instruct-v0.3,train,10,train,2,1,False,471,4
555,case_b179ae3561235b98,Llama-2-7b-chat-hf,train,11,train,3,0,True,1121,4
555,case_3f3254d7a9806aa1,Mistral-7B-Instruct-v0.3,train,11,train,3,0,True,1452,4
2273,case_bc6ad8fcced3ee2b,Llama-2-7b-chat-hf,train,12,train,3,1,False,386,5
2273,case_0c589d20d4af226f,Mistral-7B-Instruct-v0.3,train,12,train,1,0,True,122,5
2273,case_59fd1d4bb696fd7e,Llama-2-7b-chat-hf,train,13,train,1,1,False,355,5
2273,case_9e0fd07fac8231b1,Mistral-7B-Instruct-v0.3,train,13,train,2,0,True,220,5
2224,case_77320bacb29c6800,Llama-2-7b-chat-hf,train,14,train,1,2,False,321,1
2224,case_239c927bd817c804,Mistral-7B-Instruct-v0.3,train,14,train,1,1,False,145,1
2224,case_ce6a0ba6511128da,Llama-2-7b-chat-hf,train,15,train,1,1,False,506,1
2224,case_766159e30d9d030e,Mistral-7B-Instruct-v0.3,train,15,train,1,0,True,315,1
2331,case_2e3ab11a9b5bfbfd,Llama-2-7b-chat-hf,train,16,train,2,0,True,169,4
2331,case_593d738e68457491,Mistral-7B-Instruct-v0.3,train,16,train,1,0,True,94,4
2331,case_9605dfd84e4381fa,Llama-2-7b-chat-hf,train,17,train,2,1,False,382,4
2331,case_14d33bb0e260f21b,Mistral-7B-Instruct-v0.3,train,17,train,2,0,True,395,4
403,case_6dce56322b136138,Llama-2-7b-chat-hf,train,18,dev,1,2,False,442,4
403,case_74cc25a24a1c5dec,Mistral-7B-Instruct-v0.3,train,18,dev,1,1,False,194,4
403,case_baded5ebb4cccdb3,Llama-2-7b-chat-hf,train,19,dev,1,0,True,469,4
403,case_078d2715ed204f37,Mistral-7B-Instruct-v0.3,train,19,dev,1,0,True,115,4
1309,case_ebe6dd5731592a01,Llama-2-7b-chat-hf,train,20,train,1,3,False,1106,5
1309,case_b5d66245f408d7ae,Mistral-7B-Instruct-v0.3,train,20,train,2,1,False,633,5
1309,case_103f49310e420fbd,Llama-2-7b-chat-hf,train,21,train,5,1,False,1152,5
1309,case_e20de2f947cb2f71,Mistral-7B-Instruct-v0.3,train,21,train,1,0,True,340,5
816,case_5e75a0d24c9b9e5b,Llama-2-7b-chat-hf,train,22,train,2,1,False,614,5
816,case_5b50dd7e3ea0b78f,Mistral-7B-Instruct-v0.3,train,22,train,1,0,True,300,5
816,case_90b046886188d57e,Llama-2-7b-chat-hf,train,23,train,1,1,False,468,5
816,case_bc4e7e3c7f07d9d0,Mistral-7B-Instruct-v0.3,train,23,train,1,0,True,255,5
1896,case_36ba5ea86d4a7736,Llama-2-7b-chat-hf,train,24,train,1,0,True,388,2
1896,case_172079ee81833ae5,Mistral-7B-Instruct-v0.3,train,24,train,1,1,False,161,2
1896,case_3dca0de1bcf29fd9,Llama-2-7b-chat-hf,train,25,train,3,1,False,860,2
1896,case_500a0d23fa5c8faf,Mistral-7B-Instruct-v0.3,train,25,train,1,1,False,402,2
718,case_fc4b07699a5a2df5,Llama-2-7b-chat-hf,train,26,train,1,1,False,557,4
718,case_fbcc408e2ce7d755,Mistral-7B-Instruct-v0.3,train,26,train,1,1,False,258,4
718,case_c91bfab13ab98c53,Llama-2-7b-chat-hf,train,27,train,1,2,False,841,4
718,case_51ecf164d00b74b1,Mistral-7B-Instruct-v0.3,train,27,train,1,1,False,433,4
1237,case_d09dcea574bbe453,Llama-2-7b-chat-hf,train,28,train,1,0,True,245,2
