question_id,source_row_index,dataset_original_split,project_split,source_model,response_index,expanded_sample_id,faithfulness_label,response_present,missing_reason,split_seed,n_hallucinations
1292,2,train,validation,Llama-2-7b-chat-hf,0,case_847b2f0410c90adb,0,True,,42,1
1292,2,train,validation,Llama-3.1-8B-Instruct,1,case_166710e6b83bf8de,1,True,,42,0
1292,2,train,validation,Mistral-7B-Instruct-v0.1,2,case_eb87b08846aa0bfa,0,True,,42,1
1292,2,train,validation,Mistral-7B-Instruct-v0.3,3,case_281ac3287d66ae69,1,True,,42,0
1292,3,train,validation,Llama-2-7b-chat-hf,0,case_9ef470e7c879fc6d,1,True,,42,0
1292,3,train,validation,Llama-3.1-8B-Instruct,1,case_1119936657b761a4,1,True,,42,0
1292,3,train,validation,Mistral-7B-Instruct-v0.1,2,case_d0d1b805ebfe22b8,0,True,,42,1
1292,3,train,validation,Mistral-7B-Instruct-v0.3,3,case_aef3065f476e65d8,1,True,,42,0
1927,30,train,validation,Llama-2-7b-chat-hf,0,case_69047a41bc51029e,1,True,,42,0
1927,30,train,validation,Llama-3.1-8B-Instruct,1,case_6deffd03b43b41f4,1,True,,42,0
1927,30,train,validation,Mistral-7B-Instruct-v0.1,2,case_498a1d24f8680daf,1,True,,42,0
1927,30,train,validation,Mistral-7B-Instruct-v0.3,3,case_743dcc45d036bde2,1,True,,42,0
1927,31,train,validation,Llama-2-7b-chat-hf,0,case_5633bf9d118a1b37,1,True,,42,0
1927,31,train,validation,Llama-3.1-8B-Instruct,1,case_84d5900073e77b59,1,True,,42,0
1927,31,train,validation,Mistral-7B-Instruct-v0.1,2,case_8c063b3741a6cebe,1,True,,42,0
1927,31,train,validation,Mistral-7B-Instruct-v0.3,3,case_83272682565c9fe9,1,True,,42,0
1376,34,train,validation,Llama-2-7b-chat-hf,0,case_ef0ca5f9d303f405,1,True,,42,0
1376,34,train,validation,Llama-3.1-8B-Instruct,1,case_8225c7e33139ca07,1,True,,42,0
1376,34,train,validation,Mistral-7B-Instruct-v0.1,2,case_d4ec80e41466cfd4,1,True,,42,0
1376,34,train,validation,Mistral-7B-Instruct-v0.3,3,case_221c0283d11cdb86,1,True,,42,0
1376,35,train,validation,Llama-2-7b-chat-hf,0,case_c01910c1185666bb,0,True,,42,1
1376,35,train,validation,Llama-3.1-8B-Instruct,1,case_623db5be7d665e7c,1,True,,42,0
1376,35,train,validation,Mistral-7B-Instruct-v0.1,2,case_4d91cf1086c110f5,0,True,,42,1
1376,35,train,validation,Mistral-7B-Instruct-v0.3,3,case_f67a4afa0f1e247c,0,True,,42,1
161,45,train,validation,Llama-2-7b-chat-hf,0,case_9e43b907a4912558,0,True,,42,1
161,45,train,validation,Llama-3.1-8B-Instruct,1,case_df084f80c1fff04b,1,True,,42,0
161,45,train,validation,Mistral-7B-Instruct-v0.1,2,case_97029728b55164d3,0,True,,42,1
161,45,train,validation,Mistral-7B-Instruct-v0.3,3,case_7ef32860078ee719,1,True,,42,0
161,46,train,validation,Llama-2-7b-chat-hf,0,case_36c81465eb391078,0,True,,42,1
161,46,train,validation,Llama-3.1-8B-Instruct,1,case_ca1e2cdecf11ad85,0,True,,42,3
161,46,train,validation,Mistral-7B-Instruct-v0.1,2,case_a0afee8af2af7df3,0,True,,42,1
161,46,train,validation,Mistral-7B-Instruct-v0.3,3,case_2f2eaf01131d450b,0,True,,42,3
777,53,train,validation,Llama-2-7b-chat-hf,0,case_fece88dcf30bf934,1,True,,42,0
777,53,train,validation,Llama-3.1-8B-Instruct,1,case_70712bc59b50ad4c,1,True,,42,0
777,53,train,validation,Mistral-7B-Instruct-v0.1,2,case_76a70ed339ffc9b1,1,True,,42,0
777,53,train,validation,Mistral-7B-Instruct-v0.3,3,case_70272313bb74eab2,1,True,,42,0
777,54,train,validation,Llama-2-7b-chat-hf,0,case_67a01bb598961105,0,True,,42,1
777,54,train,validation,Llama-3.1-8B-Instruct,1,case_9c00b65e65a52564,1,True,,42,0
777,54,train,validation,Mistral-7B-Instruct-v0.1,2,case_ddbd745e63523065,0,True,,42,1
777,54,train,validation,Mistral-7B-Instruct-v0.3,3,case_b85811abbc8a37eb,0,True,,42,1
1613,63,train,validation,Llama-2-7b-chat-hf,0,case_4ab935864ca52dc2,1,True,,42,0
1613,63,train,validation,Llama-3.1-8B-Instruct,1,case_21e4deaaf85d4346,1,True,,42,0
1613,63,train,validation,Mistral-7B-Instruct-v0.1,2,case_81733d1df3501402,1,True,,42,0
1613,63,train,validation,Mistral-7B-Instruct-v0.3,3,case_f9813071770d2034,1,True,,42,0
1613,64,train,validation,Llama-2-7b-chat-hf,0,case_682dc971d29c0877,1,True,,42,0
1613,64,train,validation,Llama-3.1-8B-Instruct,1,case_5fb1423b30265ce4,1,True,,42,0
1613,64,train,validation,Mistral-7B-Instruct-v0.1,2,case_9691208a53248312,0,True,,42,1
1613,64,train,validation,Mistral-7B-Instruct-v0.3,3,case_28b0a8d9a208af67,0,True,,42,1
922,73,train,validation,Llama-2-7b-chat-hf,0,case_eeb0bb9183739878,0,True,,42,1
922,73,train,validation,Llama-3.1-8B-Instruct,1,case_83e66700189c3760,1,True,,42,0
922,73,train,validation,Mistral-7B-Instruct-v0.1,2,case_617d9fb2c49b7eea,0,True,,42,1
922,73,train,validation,Mistral-7B-Instruct-v0.3,3,case_6df6ca17bd0b756f,1,True,,42,0
922,74,train,validation,Llama-2-7b-chat-hf,0,case_e3606401fd21f8ee,0,True,,42,2
922,74,train,validation,Llama-3.1-8B-Instruct,1,case_3d5f8ec2e6792b2c,0,True,,42,1
922,74,train,validation,Mistral-7B-Instruct-v0.1,2,case_c609c69fb4b6abc3,1,True,,42,0
922,74,train,validation,Mistral-7B-Instruct-v0.3,3,case_e99c25a4718b145f,1,True,,42,0
782,95,train,validation,Llama-2-7b-chat-hf,0,case_d4b42de029491a0c,0,True,,42,2
782,95,train,validation,Llama-3.1-8B-Instruct,1,case_461f254b387a8927,1,True,,42,0
782,95,train,validation,Mistral-7B-Instruct-v0.1,2,case_ea83519c1fccfc4d,1,True,,42,0
782,95,train,validation,Mistral-7B-Instruct-v0.3,3,case_4c6a3fe489cc139b,1,True,,42,0
1472,102,train,validation,Llama-2-7b-chat-hf,0,case_85a2223aaf637e83,0,True,,42,5
1472,102,train,validation,Llama-3.1-8B-Instruct,1,case_931ce58404b0a116,0,True,,42,3
1472,102,train,validation,Mistral-7B-Instruct-v0.1,2,case_ade15bb3e8d96b11,0,True,,42,1
1472,102,train,validation,Mistral-7B-Instruct-v0.3,3,case_3ee348387a0eb6a4,1,True,,42,0
1472,103,train,validation,Llama-2-7b-chat-hf,0,case_65402ed3878a06cf,0,True,,42,5
1472,103,train,validation,Llama-3.1-8B-Instruct,1,case_9de24c9ddd2df173,1,True,,42,0
1472,103,train,validation,Mistral-7B-Instruct-v0.1,2,case_3a854c3bc9d911da,1,True,,42,0
1472,103,train,validation,Mistral-7B-Instruct-v0.3,3,case_1fc265a6a15e2741,1,True,,42,0
2000,147,train,validation,Llama-2-7b-chat-hf,0,case_e963f5b1ce54b714,0,True,,42,1
2000,147,train,validation,Llama-3.1-8B-Instruct,1,case_69b3d4f8e2e48f64,1,True,,42,0
2000,147,train,validation,Mistral-7B-Instruct-v0.1,2,case_03a7b92326ccdff2,0,True,,42,1
2000,147,train,validation,Mistral-7B-Instruct-v0.3,3,case_1727641ca3b2c3c0,0,True,,42,2
2000,148,train,validation,Llama-2-7b-chat-hf,0,case_69dd4b8a210a9bee,1,True,,42,0
2000,148,train,validation,Llama-3.1-8B-Instruct,1,case_61032a75e38f5e0a,1,True,,42,0
2000,148,train,validation,Mistral-7B-Instruct-v0.1,2,case_b6240c527e67be55,1,True,,42,0
2000,148,train,validation,Mistral-7B-Instruct-v0.3,3,case_86b89b7ab3a11987,1,True,,42,0
713,163,train,validation,Llama-2-7b-chat-hf,0,case_f69b378ecc6ff2d4,1,True,,42,0
713,163,train,validation,Llama-3.1-8B-Instruct,1,case_f66a6f87c47242a5,1,True,,42,0
713,163,train,validation,Mistral-7B-Instruct-v0.1,2,case_8e3ab848cf7b2d0a,1,True,,42,0
713,163,train,validation,Mistral-7B-Instruct-v0.3,3,case_5bcf5d983703c1ac,1,True,,42,0
713,164,train,validation,Llama-2-7b-chat-hf,0,case_917b9d78ebff977e,0,True,,42,2
713,164,train,validation,Llama-3.1-8B-Instruct,1,case_20cd5580a1cdea08,1,True,,42,0
713,164,train,validation,Mistral-7B-Instruct-v0.1,2,case_c1d9f9bb3b430eec,0,True,,42,1
713,164,train,validation,Mistral-7B-Instruct-v0.3,3,case_cfddd1c95cdd6a41,1,True,,42,0
265,165,train,validation,Llama-2-7b-chat-hf,0,case_c459f5cad6e02a7d,0,True,,42,1
265,165,train,validation,Llama-3.1-8B-Instruct,1,case_7e7cacde440bfb31,1,True,,42,0
265,165,train,validation,Mistral-7B-Instruct-v0.1,2,case_e0ee82a8a5055ebe,0,True,,42,1
265,165,train,validation,Mistral-7B-Instruct-v0.3,3,case_c1c0859f45fb5d37,1,True,,42,0
265,166,train,validation,Llama-2-7b-chat-hf,0,case_35fd8510febf9948,1,True,,42,0
265,166,train,validation,Llama-3.1-8B-Instruct,1,case_88f272159e073fc7,1,True,,42,0
265,166,train,validation,Mistral-7B-Instruct-v0.1,2,case_7c63845acc813930,1,True,,42,0
265,166,train,validation,Mistral-7B-Instruct-v0.3,3,case_58347982de35b198,1,True,,42,0
1193,178,train,validation,Llama-2-7b-chat-hf,0,case_28387ac80c144ca7,1,True,,42,0
1193,178,train,validation,Llama-3.1-8B-Instruct,1,case_583e18ddf432007d,1,True,,42,0
1193,178,train,validation,Mistral-7B-Instruct-v0.1,2,case_5eeb84b065bdd669,1,True,,42,0
1193,178,train,validation,Mistral-7B-Instruct-v0.3,3,case_eb8973a08811461e,1,True,,42,0
1193,179,train,validation,Llama-2-7b-chat-hf,0,case_81b22de381d8e06d,0,True,,42,1
1193,179,train,validation,Llama-3.1-8B-Instruct,1,case_5ae2f46bfb02f96e,1,True,,42,0
1193,179,train,validation,Mistral-7B-Instruct-v0.1,2,case_cc800c1963806ad4,0,True,,42,1
1193,179,train,validation,Mistral-7B-Instruct-v0.3,3,case_32395967df45e2fd,0,True,,42,1
798,213,train,validation,Llama-2-7b-chat-hf,0,case_931bb70a0ec3243e,1,True,,42,0
798,213,train,validation,Llama-3.1-8B-Instruct,1,case_fce8cdd170217148,1,True,,42,0
798,213,train,validation,Mistral-7B-Instruct-v0.1,2,case_3a21fac71a74ee94,1,True,,42,0
798,213,train,validation,Mistral-7B-Instruct-v0.3,3,case_8d55ae1a4f882cc6,1,True,,42,0
798,214,train,validation,Llama-2-7b-chat-hf,0,case_882556837b3bafe6,0,True,,42,2
798,214,train,validation,Llama-3.1-8B-Instruct,1,case_c99e3f266296e48a,1,True,,42,0
798,214,train,validation,Mistral-7B-Instruct-v0.1,2,case_5e4b359e5eafd067,0,True,,42,1
798,214,train,validation,Mistral-7B-Instruct-v0.3,3,case_8da5bbf1588380e8,1,True,,42,0
1971,291,train,validation,Llama-2-7b-chat-hf,0,case_25fe4c151ac92ee0,1,True,,42,0
1971,291,train,validation,Llama-3.1-8B-Instruct,1,case_308e06d8f5370c9a,1,True,,42,0
1971,291,train,validation,Mistral-7B-Instruct-v0.1,2,case_3bdb11de91e544cf,1,True,,42,0
1971,291,train,validation,Mistral-7B-Instruct-v0.3,3,case_ef8b3a65d3f8c46d,1,True,,42,0
