sample_id,source_model,gold_label,gate_prob_lr,gate_prob_hg,max_prob,answer_len
case_9d13fb8e70c896be,Llama-2-7b-chat-hf,0,0.965546,0.987786,0.454841,1081
case_06b9302eb2351e38,Llama-3.1-8B-Instruct,0,0.579447,0.563026,0.394284,388
case_c78fe197bdf1673d,Mistral-7B-Instruct-v0.1,1,0.90956,0.911432,0.444678,854
case_c805ae50fb187572,Mistral-7B-Instruct-v0.3,1,0.695519,0.785856,0.40346,471
case_012586be59a1b883,Llama-2-7b-chat-hf,0,0.943178,0.94707,0.489987,1121
case_b0ac0c32f598c3b7,Llama-3.1-8B-Instruct,0,0.541011,0.569395,0.181949,373
case_ed3ce65690f738a1,Mistral-7B-Instruct-v0.1,0,0.875437,0.819887,0.488098,812
case_991f51d1dcd352b9,Mistral-7B-Instruct-v0.3,0,0.950232,0.928327,0.457073,1452
case_7edc4a142af5efae,Llama-2-7b-chat-hf,0,0.372018,0.239961,0.358732,169
case_7b0371402c775a63,Llama-3.1-8B-Instruct,0,0.53905,0.414279,0.441783,143
case_e98c89df017f5306,Mistral-7B-Instruct-v0.1,0,0.323797,0.386754,0.354366,82
case_ac0c4b0b9ac49721,Mistral-7B-Instruct-v0.3,0,0.343548,0.181855,0.375286,94
case_79c2e88ed82c2381,Llama-2-7b-chat-hf,1,0.702366,0.540654,0.425809,382
case_fc8f3823a494a1fa,Llama-3.1-8B-Instruct,0,0.256757,0.200758,0.059967,189
case_83f6bba04c6a714a,Mistral-7B-Instruct-v0.1,0,0.226694,0.04562,0.048787,184
case_f2ea22d3d28d8117,Mistral-7B-Instruct-v0.3,0,0.597099,0.555398,0.171048,395
case_19ef47667da22bae,Llama-2-7b-chat-hf,1,0.384767,0.400517,0.104215,442
case_6d8a83ccbb8897ea,Llama-3.1-8B-Instruct,1,0.2198,0.016906,0.029757,134
case_cd28205cd60a9614,Mistral-7B-Instruct-v0.1,1,0.356895,0.543558,0.098991,98
case_01152df54446869c,Mistral-7B-Instruct-v0.3,1,0.222752,0.025859,0.032025,194
case_fe0b0120b91dc0ea,Llama-2-7b-chat-hf,0,0.406113,0.57351,0.115759,469
case_e2e658440b57c948,Llama-3.1-8B-Instruct,0,0.236152,0.022008,0.041741,109
case_4caf0d24d4b81338,Mistral-7B-Instruct-v0.1,0,0.232872,0.019704,0.046228,136
case_d9cee511d276f7e4,Mistral-7B-Instruct-v0.3,0,0.233557,0.085806,0.054061,115
case_07aa6c090ff32696,Llama-2-7b-chat-hf,1,0.936174,0.706541,0.505755,1106
case_2448fbdbbebe85d5,Llama-3.1-8B-Instruct,0,0.862996,0.842847,0.322724,784
case_85aee8f3b517cabe,Mistral-7B-Instruct-v0.1,0,0.522214,0.49587,0.219945,223
case_48f030d356becc1f,Mistral-7B-Instruct-v0.3,1,0.717619,0.663859,0.330182,633
case_1483412ce24e3039,Llama-2-7b-chat-hf,1,0.965156,0.881025,0.542423,1152
case_054eb5bfcab0ebce,Llama-3.1-8B-Instruct,0,0.260368,0.423744,0.055355,432
case_a2295e53466ba448,Mistral-7B-Instruct-v0.1,1,0.831954,0.730651,0.311696,568
case_e0459f2663a24f29,Mistral-7B-Instruct-v0.3,0,0.514548,0.565722,0.131378,340
case_ad0a14a3b28234f3,Llama-2-7b-chat-hf,1,0.781935,0.849197,0.48882,557
case_81e5830f06cc1d6e,Llama-3.1-8B-Instruct,0,0.548141,0.513952,0.453912,147
