category,sample_id,source_model,gold_label,pred_label,prob_max,context_truncated,question,answer,gold_spans
TP,case_18ae7808f1017365,Llama-2-7b-chat-hf,1,1,0.9408,True,Could you verify for me if Alan Sepinwall observed that Tramell Tillman's portrayal of Milchick showed affection towards," Based on the provided documents, Alan Sepinwall did not observe or mention any affection towards Sarah Bock's character by Tramell Tillman's portrayal of Milchick. In fact, the documents suggest the ","[{'start': 388, 'end': 467}]"
TP,case_18ae7808f1017365,Llama-2-7b-chat-hf,1,1,0.9621,True,Could you verify for me if Alan Sepinwall observed that Tramell Tillman's portrayal of Milchick showed affection towards," Based on the provided documents, Alan Sepinwall did not observe or mention any affection towards Sarah Bock's character by Tramell Tillman's portrayal of Milchick. In fact, the documents suggest the ","[{'start': 388, 'end': 467}]"
TP,case_18ae7808f1017365,Llama-2-7b-chat-hf,1,1,0.9659,True,Could you verify for me if Alan Sepinwall observed that Tramell Tillman's portrayal of Milchick showed affection towards," Based on the provided documents, Alan Sepinwall did not observe or mention any affection towards Sarah Bock's character by Tramell Tillman's portrayal of Milchick. In fact, the documents suggest the ","[{'start': 388, 'end': 467}]"
TP,case_18ae7808f1017365,Llama-2-7b-chat-hf,1,1,0.917,True,Could you verify for me if Alan Sepinwall observed that Tramell Tillman's portrayal of Milchick showed affection towards," Based on the provided documents, Alan Sepinwall did not observe or mention any affection towards Sarah Bock's character by Tramell Tillman's portrayal of Milchick. In fact, the documents suggest the ","[{'start': 388, 'end': 467}]"
TP,case_4160bd9f535956f8,Mistral-7B-Instruct-v0.1,1,1,0.9847,True,I understand Mary J. Blige's song 'You Ain't the Only One' touches on personal struggles. Could you confirm for me if th,"No, the message of Mary J. Blige's song ""You Ain't the Only One"" is not that these difficulties are exclusively experienced by the individual listener. The song acknowledges that everyone goes through","[{'start': 0, 'end': 427}]"
TP,case_4160bd9f535956f8,Mistral-7B-Instruct-v0.1,1,1,0.9813,True,I understand Mary J. Blige's song 'You Ain't the Only One' touches on personal struggles. Could you confirm for me if th,"No, the message of Mary J. Blige's song ""You Ain't the Only One"" is not that these difficulties are exclusively experienced by the individual listener. The song acknowledges that everyone goes through","[{'start': 0, 'end': 427}]"
TP,case_4160bd9f535956f8,Mistral-7B-Instruct-v0.1,1,1,0.9793,True,I understand Mary J. Blige's song 'You Ain't the Only One' touches on personal struggles. Could you confirm for me if th,"No, the message of Mary J. Blige's song ""You Ain't the Only One"" is not that these difficulties are exclusively experienced by the individual listener. The song acknowledges that everyone goes through","[{'start': 0, 'end': 427}]"
TP,case_d7f781e002e12b1d,Mistral-7B-Instruct-v0.3,1,1,0.9926,True,I understand Mary J. Blige's song 'You Ain't the Only One' touches on personal struggles. Could you confirm for me if th,"The passage does not provide explicit confirmation that the song's message is exclusively experienced by the individual listener. However, the song's title suggests it addresses a universal feeling of","[{'start': 130, 'end': 275}]"
TP,case_d7f781e002e12b1d,Mistral-7B-Instruct-v0.3,1,1,0.9935,True,I understand Mary J. Blige's song 'You Ain't the Only One' touches on personal struggles. Could you confirm for me if th,"The passage does not provide explicit confirmation that the song's message is exclusively experienced by the individual listener. However, the song's title suggests it addresses a universal feeling of","[{'start': 130, 'end': 275}]"
TP,case_d7f781e002e12b1d,Mistral-7B-Instruct-v0.3,1,1,0.9964,True,I understand Mary J. Blige's song 'You Ain't the Only One' touches on personal struggles. Could you confirm for me if th,"The passage does not provide explicit confirmation that the song's message is exclusively experienced by the individual listener. However, the song's title suggests it addresses a universal feeling of","[{'start': 130, 'end': 275}]"
