sample_id,source_model,category,gold_positive,pred_positive,gold_span_count,pred_span_count,n_tokens,max_prob,mean_prob
case_18ae7808f1017365,Llama-2-7b-chat-hf,TP,True,True,1,1,111,0.5095080733299255,0.03856996972919316
case_f1818b17d850759d,Llama-3.1-8B-Instruct,TN,False,False,0,0,76,0.1797439604997635,0.012447917110157983
case_4378f5fc081529e9,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,107,0.03210076317191124,0.003233935465278957
case_4a0cd375d2eefdec,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,58,0.1649118810892105,0.009003189917511291
case_d06f263b26a87a08,Llama-2-7b-chat-hf,FP,False,True,0,1,87,0.990559995174408,0.3948665098996362
case_eac104e4a1e01872,Llama-3.1-8B-Instruct,TN,False,False,0,0,21,0.1536627858877182,0.03045067075817358
case_33e8b96241f73613,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,37,0.00042559660505503416,0.00016993342334801028
case_45f94767a567d781,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,48,0.0003059048904106021,0.00018647442281386853
case_323feff1de2f4761,Llama-2-7b-chat-hf,TN,False,False,0,0,111,0.024813640862703323,0.0031381491949228017
case_495acbf7345aa4fc,Llama-3.1-8B-Instruct,TN,False,False,0,0,30,0.006002119276672602,0.0024853872678553064
case_c867c809dcecdd45,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,40,0.05380391702055931,0.008051725616678596
case_b3e33f76d57de1da,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,30,0.015218900516629219,0.005202553460064033
case_2facc8d05943c0f7,Llama-2-7b-chat-hf,FP,False,True,0,2,97,0.9341335296630859,0.20549380610854193
case_4b7c6f116dcf2f8c,Llama-3.1-8B-Instruct,TN,False,False,0,0,28,0.0002739406772889197,0.00018005542239864423
case_9ba9104b19a3ce85,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,40,0.0028542233631014824,0.0009635804424760863
case_20abfd9ce50746b5,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,71,0.021266529336571693,0.0024731902099824443
case_8554d6911d57c88b,Llama-2-7b-chat-hf,TN,False,False,0,0,111,0.05386164411902428,0.010974291261591789
case_fc0251a2f0df1927,Llama-3.1-8B-Instruct,TN,False,False,0,0,57,0.03072766587138176,0.0093487935577797
case_7a5535883ec6ded9,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,42,0.018919674679636955,0.006857254118325987
case_32d01de093a3bee8,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,62,0.22855277359485626,0.05122120265901509
case_514962636893a87a,Llama-2-7b-chat-hf,TN,False,False,1,0,111,0.0702987089753151,0.012109181831374782
case_5d57bc074ec03dfb,Llama-3.1-8B-Instruct,TN,False,False,0,0,64,0.0014324955409392715,0.00027152880511494004
case_4160bd9f535956f8,Mistral-7B-Instruct-v0.1,TP,True,True,1,6,106,0.9644237756729126,0.35618355898362286
case_d7f781e002e12b1d,Mistral-7B-Instruct-v0.3,TP,True,True,1,5,94,0.6661726832389832,0.13210098737011108
case_a90bcc58db1315ba,Llama-2-7b-chat-hf,TP,True,True,1,1,99,0.8916667103767395,0.14589780396599594
case_367bd85e6f92c537,Llama-3.1-8B-Instruct,TN,False,False,0,0,84,0.152473583817482,0.03343823839566626
case_3ea1ac91c384d0bd,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,83,0.13791634142398834,0.019241636979438544
case_0f24cd649e4da8cb,Mistral-7B-Instruct-v0.3,FP,False,True,0,1,59,0.3121318519115448,0.057072080294917324
case_2b4aed633dfac7bb,Llama-2-7b-chat-hf,TP,True,True,1,3,111,0.6439329981803894,0.0888366335043306
case_0cd1aae5a1bbd5fc,Llama-3.1-8B-Instruct,TN,False,False,3,0,111,0.05273696407675743,0.006682314067294502
case_76d3170def09da20,Mistral-7B-Instruct-v0.1,TP,True,True,1,1,111,0.34041911363601685,0.05287748588530162
case_edff0b87ec96ca14,Mistral-7B-Instruct-v0.3,TP,True,True,3,4,111,0.9021725654602051,0.22108749353100318
case_f5b54874d79e7ba8,Llama-2-7b-chat-hf,TN,False,False,0,0,51,0.1863112896680832,0.07746804474086008
case_0ce79f3bd5f841c9,Llama-3.1-8B-Instruct,TN,False,False,0,0,30,0.007820804603397846,0.003961452298487226
case_b1ee7bf962782c28,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,26,0.13204754889011383,0.0767394550717794
case_540235560aaceaad,Mistral-7B-Instruct-v0.3,FP,False,True,0,2,41,0.4960210919380188,0.2814878821372986
case_0ceb5db0afc53a1e,Llama-2-7b-chat-hf,TP,True,True,1,1,55,0.6606360077857971,0.3042241950265386
case_71545689d1716347,Llama-3.1-8B-Instruct,TN,False,False,0,0,59,0.0004583052941597998,0.0002462658678453763
case_8099e1426bb330d5,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,26,0.13204696774482727,0.07673913498337452
case_af7ad2d09deb01aa,Mistral-7B-Instruct-v0.3,TP,True,True,1,4,71,0.4315791726112366,0.1858443062437672
case_7e0fea96fa34b7da,Llama-2-7b-chat-hf,FP,False,True,0,2,111,0.9987437129020691,0.7190608089571601
case_af5788eaf8b205fa,Llama-3.1-8B-Instruct,TN,False,False,0,0,41,0.010580567643046379,0.0014771908417304342
case_c46008eb82d651aa,Mistral-7B-Instruct-v0.1,FP,False,True,0,3,111,0.9950059056282043,0.3543547517378806
case_6b0ea892c85155b0,Mistral-7B-Instruct-v0.3,FP,False,True,0,7,111,0.9980636239051819,0.3416530331072339
case_16c9c4fdb8260d4d,Llama-2-7b-chat-hf,FP,False,True,0,3,111,0.8838247656822205,0.12218179256311273
case_740559c064d45420,Llama-3.1-8B-Instruct,TN,False,False,0,0,79,0.02179349958896637,0.0032619511303558202
case_eba8b6170326f065,Mistral-7B-Instruct-v0.1,TP,True,True,1,1,111,0.4435923397541046,0.05956073906188747
case_4dda96d367506884,Mistral-7B-Instruct-v0.3,TP,True,True,1,3,96,0.9831835031509399,0.3141604313107867
case_245ac9e7730bba10,Llama-2-7b-chat-hf,TP,True,True,1,3,111,0.44618040323257446,0.034053204748685145
case_fef11db69d89ba59,Llama-3.1-8B-Instruct,TN,False,False,0,0,64,0.03280176594853401,0.005506520996277686
case_705f30f333d637ce,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,93,0.11733698844909668,0.016593797753254574
case_72200c380c439cac,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,109,0.024142153561115265,0.0034687438280985973
case_f8fa34ad2a6f4095,Llama-2-7b-chat-hf,FN,True,False,2,0,111,0.042704395949840546,0.0061464605741265756
case_4ad53be41a8d286f,Llama-3.1-8B-Instruct,TP,True,True,1,2,91,0.6071115136146545,0.046350052587193526
case_c8c17f1c2c81b30d,Mistral-7B-Instruct-v0.1,FP,False,True,0,2,111,0.3290444314479828,0.06622835571735024
case_ca3469714a4b4689,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,111,0.0047388020902872086,0.0005741431554155382
case_cedc3dbca648c07d,Llama-2-7b-chat-hf,TP,True,True,2,1,111,0.3034680187702179,0.05927836605523889
case_11c1f7cddd78e4f0,Llama-3.1-8B-Instruct,TN,False,False,0,0,74,0.0017963697900995612,0.0002865653580040482
case_fdc5056f1714d93e,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,37,0.007078227587044239,0.0020335465433654956
case_a1ccc1cd1ca62bfb,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,61,0.00034766236785799265,0.00017697491301853425
case_6333be0ea4b36c34,Llama-2-7b-chat-hf,TP,True,True,5,3,178,0.9208126664161682,0.16360324632057271
case_a98077da3d682762,Llama-3.1-8B-Instruct,TP,True,True,3,1,152,0.33975425362586975,0.05987781405201531
case_143198d37e31edeb,Mistral-7B-Instruct-v0.1,TP,True,True,1,1,78,0.6322134137153625,0.06784607569436328
case_b832f4915ec59d71,Mistral-7B-Instruct-v0.3,FP,False,True,0,1,104,0.8225468993186951,0.1255879432602132
case_12f6f3393be820ca,Llama-2-7b-chat-hf,TP,True,True,5,2,197,0.658671498298645,0.06158262962313058
case_3b02c4d7d3ffd8ad,Llama-3.1-8B-Instruct,TN,False,False,0,0,79,0.0011402119416743517,0.0003466979330449801
case_19632d266765742a,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,39,0.00031981218489818275,0.00019875884922489955
case_586ed1712c6f6662,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,129,0.0005906361038796604,0.0002157696772185371
case_cc54bc1311646e35,Llama-2-7b-chat-hf,TP,True,True,1,2,92,0.7148399353027344,0.0794933431328821
case_c82ab738dc9935b3,Llama-3.1-8B-Instruct,FP,False,True,0,2,82,0.451361745595932,0.05441095567398517
case_7db9a0716ca76554,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,41,0.15184110403060913,0.024735290166018983
case_84a95619bcb2de79,Mistral-7B-Instruct-v0.3,TP,True,True,2,3,121,0.5499919056892395,0.079536350108724
