expanded_sample_id,question_id,source_model,error_type,gold_answer_label,answer_pred_unfaithful,answer_unfaithfulness_score,answer_length,n_claims
case_6630e7dc579795e5,1096,Mistral-7B-Instruct-v0.3,FP,0,1,0.8593431711196899,241,2
case_7633591b0df27c9e,1673,Llama-2-7b-chat-hf,FP,0,1,0.8561089634895325,277,1
case_91a7e22a130a3b16,1628,Mistral-7B-Instruct-v0.3,FP,0,1,0.854541003704071,393,1
case_8774c71c7a11cfdf,479,Llama-2-7b-chat-hf,FP,0,1,0.8535169363021851,306,3
case_799ef0f72dbc1cde,282,Mistral-7B-Instruct-v0.3,FP,0,1,0.8533273339271545,386,4
case_ebda50309fb384ed,808,Llama-2-7b-chat-hf,FP,0,1,0.8527960777282715,327,2
case_e8c20e42bb59c454,636,Llama-2-7b-chat-hf,FP,0,1,0.8509635925292969,418,4
case_760d887103ef5850,282,Llama-2-7b-chat-hf,FP,0,1,0.85064297914505,1146,4
case_d99c73078e45d89b,1466,Llama-2-7b-chat-hf,FP,0,1,0.8496151566505432,485,2
case_598d28169c0e0999,1107,Llama-2-7b-chat-hf,FP,0,1,0.8491020798683167,569,4
case_f9a4fef9bba555b2,1534,Llama-2-7b-chat-hf,FP,0,1,0.8475727438926697,954,2
case_71214f0b82bdf572,2097,Llama-2-7b-chat-hf,FP,0,1,0.8465014100074768,334,2
case_2f0ad276e20d9869,447,Llama-2-7b-chat-hf,FP,0,1,0.8463665843009949,271,2
case_507d7e4396f5ee80,1426,Llama-2-7b-chat-hf,FP,0,1,0.8453482389450073,348,2
case_5348d818092d10ef,183,Mistral-7B-Instruct-v0.3,FP,0,1,0.845291018486023,84,1
case_d9fcd25095d62084,1096,Llama-2-7b-chat-hf,FP,0,1,0.8451413512229919,285,2
case_24e0d0059d16cb37,2282,Mistral-7B-Instruct-v0.3,FP,0,1,0.8447818160057068,322,1
case_ad097109333de878,1273,Llama-2-7b-chat-hf,FP,0,1,0.8424012660980225,883,2
case_b161bf82dfc91a71,1673,Mistral-7B-Instruct-v0.3,FP,0,1,0.8423725366592407,374,2
case_83979fcd20798332,2254,Llama-2-7b-chat-hf,FP,0,1,0.8416975736618042,355,3
case_150f7ea75abc54d5,1182,Llama-2-7b-chat-hf,FP,0,1,0.8415912389755249,521,4
case_f0370983fc382b62,573,Llama-2-7b-chat-hf,FP,0,1,0.8412834405899048,402,2
case_80a008f45bab6c79,514,Llama-2-7b-chat-hf,FP,0,1,0.8410822153091431,549,1
case_a933bf42e5b64b69,443,Llama-2-7b-chat-hf,FP,0,1,0.8405564427375793,1091,2
case_c53032b2be79820b,1409,Llama-2-7b-chat-hf,FP,0,1,0.8395424485206604,428,3
case_9150efcb38701773,83,Llama-2-7b-chat-hf,FP,0,1,0.8395146727561951,547,1
case_806a62015bd4bdff,1007,Llama-2-7b-chat-hf,FP,0,1,0.8380987048149109,451,1
case_2545271a23b80b24,2208,Llama-2-7b-chat-hf,FP,0,1,0.8371662497520447,114,2
case_9735c5528f202ffe,1333,Llama-2-7b-chat-hf,FP,0,1,0.8371148705482483,744,4
case_1c5225b4c8dac481,933,Llama-2-7b-chat-hf,FP,0,1,0.8364763259887695,323,3
case_51baaf0a1c256afa,781,Mistral-7B-Instruct-v0.3,FP,0,1,0.8363770246505737,116,1
case_95bc583edaef6171,1466,Llama-2-7b-chat-hf,FP,0,1,0.8363375067710876,158,2
case_e1a33bc0cba8832c,306,Mistral-7B-Instruct-v0.3,FP,0,1,0.835750937461853,313,2
case_655ae0d4e85302ce,636,Llama-2-7b-chat-hf,FP,0,1,0.835695743560791,212,2
case_38251d882b9b55ac,1182,Llama-2-7b-chat-hf,FP,0,1,0.835178017616272,628,3
case_794f2e1f5e6a18f8,282,Llama-2-7b-chat-hf,FP,0,1,0.8350226283073425,357,2
case_48740fb4c432a6c0,1472,Llama-2-7b-chat-hf,FP,0,1,0.8348925113677979,1348,4
case_cf128f061c18ac4d,1628,Llama-2-7b-chat-hf,FP,0,1,0.8346650004386902,1055,3
case_355bab5f8782f9ce,519,Llama-2-7b-chat-hf,FP,0,1,0.8346434831619263,507,4
case_7c0526a17126aa1b,2037,Mistral-7B-Instruct-v0.3,FP,0,1,0.8345214128494263,369,1
case_3b38b1cbdee7e33a,134,Llama-2-7b-chat-hf,FP,0,1,0.8344683647155762,142,2
case_2c94bbb86b072362,1673,Llama-2-7b-chat-hf,FP,0,1,0.8344578146934509,165,1
case_dac44b4b3ad0e299,265,Llama-2-7b-chat-hf,FP,0,1,0.8339649438858032,206,2
case_d3e549dc4765e7c3,2282,Llama-2-7b-chat-hf,FP,0,1,0.8338797092437744,685,1
case_80a681ab6b3c8581,606,Mistral-7B-Instruct-v0.3,FP,0,1,0.8333619832992554,126,1
case_00c0c1575c074b1c,738,Mistral-7B-Instruct-v0.3,FP,0,1,0.8333049416542053,495,3
case_269746028590438f,606,Llama-2-7b-chat-hf,FP,0,1,0.8324036598205566,136,2
case_125fab5ab8732739,161,Llama-2-7b-chat-hf,FP,0,1,0.8315567970275879,757,3
case_4dd3668a2cb6fd81,573,Mistral-7B-Instruct-v0.3,FP,0,1,0.8306568264961243,315,2
case_7794e502d55736ce,1159,Mistral-7B-Instruct-v0.3,FP,0,1,0.8303479552268982,325,1
case_563b6dfe79b68576,1007,Llama-2-7b-chat-hf,FP,0,1,0.830049991607666,800,2
case_c3e20bdba2768e32,83,Llama-2-7b-chat-hf,FP,0,1,0.8297106027603149,675,2
case_121d6253c9c5d90f,1533,Llama-2-7b-chat-hf,FP,0,1,0.8296631574630737,177,1
case_b36bf8159845278e,2266,Llama-2-7b-chat-hf,FP,0,1,0.8296079039573669,589,3
case_36a0f0f610e81078,2282,Llama-2-7b-chat-hf,FP,0,1,0.8292976021766663,650,1
case_5dcffc767f66716b,1766,Llama-2-7b-chat-hf,FP,0,1,0.8290334343910217,258,3
case_941f0c69e1a14cd3,606,Llama-2-7b-chat-hf,FP,0,1,0.8289530277252197,145,1
case_8dfecdec79fcd8b3,1238,Llama-2-7b-chat-hf,FP,0,1,0.8288462162017822,428,1
case_30cdeb7afaf50ed3,1488,Llama-2-7b-chat-hf,FP,0,1,0.8286001682281494,406,2
case_17cb55e2ea683e94,519,Llama-2-7b-chat-hf,FP,0,1,0.828581690788269,289,3
case_9c77d85a592bb4b9,1193,Llama-2-7b-chat-hf,FP,0,1,0.8285613656044006,250,2
case_0d5f06e591419ac3,1683,Llama-2-7b-chat-hf,FP,0,1,0.8277100920677185,389,2
case_bd07fd9bc441b742,922,Llama-2-7b-chat-hf,FP,0,1,0.8277091383934021,682,2
case_472d0fab09146489,183,Llama-2-7b-chat-hf,FP,0,1,0.8273015022277832,397,1
case_566811df7f892120,573,Mistral-7B-Instruct-v0.3,FP,0,1,0.8271263837814331,364,1
case_93f818da72a7cc18,1008,Llama-2-7b-chat-hf,FP,0,1,0.8264952898025513,948,4
case_e3320dcc2eb3f623,43,Llama-2-7b-chat-hf,FP,0,1,0.8259315490722656,1017,3
case_fadb0d5c4cbd1331,1206,Llama-2-7b-chat-hf,FP,0,1,0.8254648447036743,159,2
case_87479f78c176d26a,1333,Llama-2-7b-chat-hf,FP,0,1,0.8252838850021362,326,2
case_9c4ecc6e6c02454b,486,Mistral-7B-Instruct-v0.3,FP,0,1,0.8248884677886963,581,1
case_9a31ec897a41fe57,93,Mistral-7B-Instruct-v0.3,FP,0,1,0.8248350024223328,250,2
case_44e67900e2ccde87,134,Llama-2-7b-chat-hf,FP,0,1,0.8248333930969238,441,2
case_ffa30350b1d1e635,198,Mistral-7B-Instruct-v0.3,FP,0,1,0.8248081803321838,847,3
case_3a010ff2535fd7e2,1983,Llama-2-7b-chat-hf,FP,0,1,0.8246926069259644,334,2
case_10c107d19458cc91,713,Llama-2-7b-chat-hf,FP,0,1,0.8246304988861084,368,1
case_3ac5a883e584c7cb,1193,Mistral-7B-Instruct-v0.3,FP,0,1,0.8245344161987305,218,1
case_463086cbc6957132,1254,Llama-2-7b-chat-hf,FP,0,1,0.8242505192756653,166,2
case_5f5293522bee8d5a,2062,Mistral-7B-Instruct-v0.3,FP,0,1,0.8242475986480713,204,1
case_c70765bd24127c95,486,Llama-2-7b-chat-hf,FP,0,1,0.8237489461898804,918,1
case_f8b5418d0c5cb562,1008,Llama-2-7b-chat-hf,FP,0,1,0.8236404657363892,765,3
case_f9cadf7240f1d800,798,Llama-2-7b-chat-hf,FP,0,1,0.8236330151557922,645,1
case_1ab2456d512251d7,1534,Mistral-7B-Instruct-v0.3,FP,0,1,0.8235895037651062,414,1
case_59ada2a75bebc251,300,Llama-2-7b-chat-hf,FP,0,1,0.8234641551971436,405,1
case_a211e6e5f362c756,282,Mistral-7B-Instruct-v0.3,FP,0,1,0.8233140707015991,172,2
case_54062e67ce31d758,573,Llama-2-7b-chat-hf,FP,0,1,0.8231470584869385,630,1
case_23003bdd0b9841cc,1374,Llama-2-7b-chat-hf,FP,0,1,0.8225893378257751,146,2
case_fd399113ba531b02,1397,Llama-2-7b-chat-hf,FP,0,1,0.8223918676376343,543,2
case_cbc5779bd45baaaa,1931,Llama-2-7b-chat-hf,FP,0,1,0.8222452402114868,124,1
case_2fc2386e36ad3f74,922,Llama-2-7b-chat-hf,FP,0,1,0.8222420811653137,824,1
case_3d0c7e4042b8d7f4,2000,Llama-2-7b-chat-hf,FP,0,1,0.8222402930259705,357,1
case_31b50e75f6b56abe,486,Mistral-7B-Instruct-v0.3,FP,0,1,0.822039008140564,319,1
case_ae72a0b1c1b4f60a,479,Llama-2-7b-chat-hf,FP,0,1,0.8218339681625366,463,4
case_18cca97da0b9f867,1511,Llama-2-7b-chat-hf,FP,0,1,0.8215160965919495,353,1
case_395240852c8155a9,1273,Llama-2-7b-chat-hf,FP,0,1,0.8211493492126465,727,2
case_5ad28bbad98d0a75,1430,Llama-2-7b-chat-hf,FP,0,1,0.8209521770477295,223,1
case_33acaa49b6de857e,903,Llama-2-7b-chat-hf,FP,0,1,0.8208378553390503,437,3
case_c18f24e64513179e,1466,Mistral-7B-Instruct-v0.3,FP,0,1,0.8208242058753967,359,1
case_60c481ff5abbea73,1613,Mistral-7B-Instruct-v0.3,FP,0,1,0.8205384612083435,381,1
case_0ae78d601cca4140,1533,Llama-2-7b-chat-hf,FP,0,1,0.8204151391983032,177,1
case_4351e152bef8fb24,777,Mistral-7B-Instruct-v0.3,FP,0,1,0.8203227519989014,251,2
case_5b86e33895d3f63e,1550,Llama-2-7b-chat-hf,FP,0,1,0.820297360420227,597,1
case_aa43e5d5e395bf3f,1150,Llama-2-7b-chat-hf,FP,0,1,0.8202545642852783,379,2
case_39b01ccd9606eca1,1401,Llama-2-7b-chat-hf,FP,0,1,0.8202344179153442,1241,1
case_99f47547ac580972,1214,Llama-2-7b-chat-hf,FP,0,1,0.8199693560600281,489,2
case_cea42a481d124cf3,144,Llama-2-7b-chat-hf,FP,0,1,0.8197200298309326,291,2
case_8b8618257cfa8043,473,Llama-2-7b-chat-hf,FP,0,1,0.8197195529937744,404,2
case_03cb1f8092127c35,81,Llama-2-7b-chat-hf,FP,0,1,0.8196693658828735,806,1
case_ee20072fbc6f232b,2037,Llama-2-7b-chat-hf,FP,0,1,0.8196485638618469,545,1
case_3839d26f80953dbe,1533,Mistral-7B-Instruct-v0.3,FP,0,1,0.8193842768669128,221,1
case_d4f70ad2ba89a09a,926,Llama-2-7b-chat-hf,FP,0,1,0.8188777565956116,1154,1
case_a99ac72f913d1b5b,446,Llama-2-7b-chat-hf,FP,0,1,0.818855345249176,380,3
case_ec8f515ac909ec79,636,Mistral-7B-Instruct-v0.3,FP,0,1,0.8188235759735107,192,2
case_2fbe88f3585b6da2,694,Llama-2-7b-chat-hf,FP,0,1,0.8186989426612854,418,2
case_4b3b0afef4dbbf43,2062,Llama-2-7b-chat-hf,FP,0,1,0.8185397386550903,453,2
case_68834d319299ff1f,407,Llama-2-7b-chat-hf,FP,0,1,0.8181115388870239,190,2
case_2565859e7f170354,40,Mistral-7B-Instruct-v0.3,FP,0,1,0.8178626298904419,271,1
case_ee1b9a421f9c3ddd,1579,Llama-2-7b-chat-hf,FP,0,1,0.8175424933433533,266,1
case_b26a5e38eaef54ff,613,Llama-2-7b-chat-hf,FP,0,1,0.8168706893920898,578,2
case_ed778fcfa452b2bf,2000,Mistral-7B-Instruct-v0.3,FP,0,1,0.8168061375617981,483,1
case_ac8ac0c2653bea9e,641,Llama-2-7b-chat-hf,FP,0,1,0.816620945930481,666,1
case_22124b8038f58f0d,1110,Mistral-7B-Instruct-v0.3,FP,0,1,0.8163177371025085,259,1
case_c605855ea3f233d7,161,Llama-2-7b-chat-hf,FP,0,1,0.8150288462638855,405,1
case_8ad72279eed01cd1,93,Llama-2-7b-chat-hf,FP,0,1,0.8149054646492004,230,2
case_b99dfd75b53ede7f,39,Llama-2-7b-chat-hf,FP,0,1,0.8145253658294678,584,1
case_99e149f5bd971a01,2022,Llama-2-7b-chat-hf,FP,0,1,0.8140257596969604,133,1
case_63f865dd7db78722,907,Llama-2-7b-chat-hf,FP,0,1,0.8138343691825867,120,2
case_6be780f2c974cb37,1998,Mistral-7B-Instruct-v0.3,FP,0,1,0.8137357831001282,318,1
case_86e00f2384a2c5c0,446,Llama-2-7b-chat-hf,FP,0,1,0.813671886920929,173,2
case_f09a1f3c290f3927,1238,Llama-2-7b-chat-hf,FP,0,1,0.8135708570480347,137,1
case_86c915e12af7b5c1,1522,Llama-2-7b-chat-hf,FP,0,1,0.81276935338974,170,1
case_eef100219b00b75d,1376,Mistral-7B-Instruct-v0.3,FP,0,1,0.8124160766601562,394,1
case_510b7a3f40f97adf,606,Mistral-7B-Instruct-v0.3,FP,0,1,0.8123915791511536,80,1
case_8002265e285cc05f,1376,Llama-2-7b-chat-hf,FP,0,1,0.8116283416748047,807,1
case_a4222197c5f408c3,781,Llama-2-7b-chat-hf,FP,0,1,0.8115771412849426,259,1
case_bbc02545ae3ecb96,945,Llama-2-7b-chat-hf,FP,0,1,0.8115168809890747,352,2
case_40e666780c637e7b,1472,Llama-2-7b-chat-hf,FP,0,1,0.8114628195762634,1089,3
case_22621acd0580c4d7,1772,Llama-2-7b-chat-hf,FP,0,1,0.8114126920700073,272,2
case_0dcb7632e6def3e2,777,Llama-2-7b-chat-hf,FP,0,1,0.8104898929595947,221,2
case_a16f32954118d208,1542,Llama-2-7b-chat-hf,FP,0,1,0.8090839385986328,165,1
case_f6b5235f23843679,2022,Mistral-7B-Instruct-v0.3,FP,0,1,0.8086639046669006,167,1
case_31b3e117cc7fe828,773,Llama-2-7b-chat-hf,FP,0,1,0.8082958459854126,317,1
case_9ef77f447f2464c7,1254,Llama-2-7b-chat-hf,FP,0,1,0.8077917098999023,345,2
case_49a57e49183342ee,2254,Llama-2-7b-chat-hf,FP,0,1,0.8073781728744507,256,2
case_60859862be99d4e9,1110,Llama-2-7b-chat-hf,FP,0,1,0.8072973489761353,109,1
case_ae1957f40f4982a1,1429,Mistral-7B-Instruct-v0.3,FP,0,1,0.807136058807373,676,1
case_5e670d3c4781ba15,1639,Llama-2-7b-chat-hf,FP,0,1,0.8066643476486206,277,1
case_6359c1469a16c5c3,855,Llama-2-7b-chat-hf,FP,0,1,0.806395411491394,170,2
case_500d7c95c512609d,860,Llama-2-7b-chat-hf,FP,0,1,0.8063510656356812,387,3
case_e21d4638492e4cfc,2228,Mistral-7B-Instruct-v0.3,FP,0,1,0.8063371777534485,278,1
case_9c4c6dcb8ad8f3f7,161,Mistral-7B-Instruct-v0.3,FP,0,1,0.8057994842529297,545,1
case_a4afdc6ee10223b4,2191,Llama-2-7b-chat-hf,FP,0,1,0.8057010173797607,387,1
case_ad3758f4edcb0934,2228,Llama-2-7b-chat-hf,FP,0,1,0.8053857088088989,410,1
case_0b049560e5fbc41f,181,Llama-2-7b-chat-hf,FP,0,1,0.8047853708267212,1066,2
case_c9ca15275a1e8529,1150,Llama-2-7b-chat-hf,FP,0,1,0.8044065833091736,377,3
case_292d7e229729e1c2,646,Mistral-7B-Instruct-v0.3,FP,0,1,0.803850531578064,316,1
case_c4b7953db30d8715,808,Llama-2-7b-chat-hf,FP,0,1,0.8032618761062622,384,1
case_453d9c38de3af612,1025,Llama-2-7b-chat-hf,FP,0,1,0.8029019832611084,101,1
case_3932b3fcee64529b,1998,Llama-2-7b-chat-hf,FP,0,1,0.8010141253471375,628,1
case_e30a14912e88e373,443,Llama-2-7b-chat-hf,FP,0,1,0.8003683090209961,1275,2
case_d8d5232893f17345,93,Llama-2-7b-chat-hf,FP,0,1,0.8000001907348633,203,2
case_f1908784d80e6323,307,Llama-2-7b-chat-hf,FP,0,1,0.7993916273117065,100,1
case_8abf572c7ea08841,907,Llama-2-7b-chat-hf,FP,0,1,0.7988886833190918,265,3
