expanded_sample_id,question_id,source_model,response_index,true_faithfulness_label,predicted_faithfulness_label,faithfulness_score,threshold,aggregation_strategy,claim_count,correct
case_b15cd694b5adfcc0,1292,Llama-2-7b-chat-hf,0,0,1,0.93701171875,0.12000000000000001,max_entail,1,False
case_d46ec8757596c7f2,1292,Mistral-7B-Instruct-v0.1,2,0,1,0.8095703125,0.12000000000000001,max_entail,1,False
case_700fab6baf3e41cd,1292,Llama-2-7b-chat-hf,0,1,0,0.0302886962890625,0.12000000000000001,max_entail,1,False
case_1fe94b7dc93576a0,1292,Llama-3.1-8B-Instruct,1,1,0,0.0028896331787109375,0.12000000000000001,max_entail,1,False
case_9a948b04722b1ad5,1292,Mistral-7B-Instruct-v0.3,3,1,0,0.006500244140625,0.12000000000000001,max_entail,1,False
case_f5d7e314b3670ae5,1927,Llama-2-7b-chat-hf,0,1,0,0.0130767822265625,0.12000000000000001,max_entail,2,False
case_8beace2a75074d84,1927,Llama-3.1-8B-Instruct,1,1,0,0.005039215087890625,0.12000000000000001,max_entail,1,False
case_ab0b49e3817c3ae7,1927,Mistral-7B-Instruct-v0.1,2,1,0,0.0150299072265625,0.12000000000000001,max_entail,1,False
case_32f0b4b07c2908ea,1927,Mistral-7B-Instruct-v0.3,3,1,0,0.015289306640625,0.12000000000000001,max_entail,1,False
case_32fb919c8558d024,1376,Llama-3.1-8B-Instruct,1,1,0,0.02044677734375,0.12000000000000001,max_entail,1,False
case_7f6c7a0bc44e2c56,1376,Mistral-7B-Instruct-v0.1,2,0,1,0.1842041015625,0.12000000000000001,max_entail,1,False
case_a4c8c41b8f86e7cd,161,Mistral-7B-Instruct-v0.1,2,0,1,0.50927734375,0.12000000000000001,max_entail,1,False
case_a3ec06d610c52a1e,777,Llama-2-7b-chat-hf,0,1,0,0.0304412841796875,0.12000000000000001,max_entail,2,False
case_e0e2fe17b46f7951,777,Llama-3.1-8B-Instruct,1,1,0,0.02374267578125,0.12000000000000001,max_entail,1,False
case_fafe4b7ce12817fb,777,Mistral-7B-Instruct-v0.1,2,1,0,0.07745361328125,0.12000000000000001,max_entail,1,False
case_79f75378eaae6c2b,777,Llama-2-7b-chat-hf,0,0,1,0.186767578125,0.12000000000000001,max_entail,2,False
case_67ec3c3858b54f56,777,Llama-3.1-8B-Instruct,1,1,0,0.051971435546875,0.12000000000000001,max_entail,1,False
case_6a63eb3ca8347ec0,777,Mistral-7B-Instruct-v0.1,2,0,1,0.19921875,0.12000000000000001,max_entail,1,False
case_7bb22978ab759173,777,Mistral-7B-Instruct-v0.3,3,0,1,0.263916015625,0.12000000000000001,max_entail,2,False
case_88c035981a5475ae,1613,Mistral-7B-Instruct-v0.1,2,0,1,0.92626953125,0.12000000000000001,max_entail,1,False
case_a0c1b56678d5c406,782,Llama-2-7b-chat-hf,0,0,1,0.82861328125,0.12000000000000001,max_entail,1,False
case_f9f9f1c01a5a2bf8,782,Llama-3.1-8B-Instruct,1,1,0,0.014984130859375,0.12000000000000001,max_entail,1,False
case_fca0be47fca80091,782,Mistral-7B-Instruct-v0.1,2,1,0,0.00290679931640625,0.12000000000000001,max_entail,1,False
case_915ec8036aefe677,782,Mistral-7B-Instruct-v0.3,3,1,0,0.0030078887939453125,0.12000000000000001,max_entail,1,False
case_2c643706893289f6,1472,Llama-2-7b-chat-hf,0,0,1,0.234375,0.12000000000000001,max_entail,3,False
case_ec264209ce393ccf,1472,Llama-2-7b-chat-hf,0,0,1,0.82421875,0.12000000000000001,max_entail,4,False
case_5c548dd0f5a254e9,1472,Llama-3.1-8B-Instruct,1,1,0,0.006946563720703125,0.12000000000000001,max_entail,2,False
case_f372309067d28c4c,1472,Mistral-7B-Instruct-v0.1,2,1,0,0.00107574462890625,0.12000000000000001,max_entail,1,False
