user_prompt_index,split,answerable,category,information_type,n_hallucinated_models
0,unknown,True,OTHER,OTHER,2
1,unknown,True,SPORTS,IDENTITY,2
100,unknown,True,MOVIES_AND_TV,OTHER,2
1004,unknown,True,POLITICS,OTHER,3
1007,unknown,True,HEALTH,OTHER,2
1008,unknown,True,SPORTS,TEMPORAL,2
1009,unknown,True,MUSIC,IDENTITY,2
1011,unknown,True,MUSIC,IDENTITY,3
1015,unknown,True,SPORTS,NUMERICAL,3
1017,unknown,True,OTHER,OTHER,2
102,unknown,True,POLITICS,OTHER,2
1023,unknown,True,POLITICS,TEMPORAL,3
1025,unknown,True,POLITICS,TEMPORAL,1
103,unknown,True,POLITICS,OTHER,1
1030,unknown,True,SPORTS,TEMPORAL,0
1035,unknown,True,POLITICS,OTHER,3
1041,unknown,True,SPORTS,TEMPORAL,0
1042,unknown,True,POLITICS,OTHER,4
1044,unknown,True,SPORTS,IDENTITY,3
1046,unknown,True,SPORTS,IDENTITY,3
1047,unknown,True,SPORTS,OTHER,2
1048,unknown,True,POLITICS,IDENTITY,2
1051,unknown,True,SPORTS,OTHER,0
1054,unknown,False,OTHER,TEMPORAL,1
1060,unknown,True,POLITICS,TEMPORAL,0
1065,unknown,True,SPORTS,NUMERICAL,1
1067,unknown,True,MOVIES_AND_TV,IDENTITY,3
1068,unknown,True,TECHNOLOGY,IDENTITY,0
107,unknown,True,BUSINESS,NUMERICAL,0
1073,unknown,True,SPORTS,NUMERICAL,1
1075,unknown,True,SPORTS,NUMERICAL,2
1078,unknown,False,MUSIC,IDENTITY,1
1079,unknown,False,POLITICS,OTHER,1
108,unknown,True,MOVIES_AND_TV,NUMERICAL,1
1090,unknown,True,SPORTS,IDENTITY,4
1095,unknown,True,OTHER,OTHER,3
1096,unknown,True,POLITICS,IDENTITY,2
110,unknown,True,SPORTS,OTHER,3
1100,unknown,True,LITERATURE,NUMERICAL,4
1104,unknown,True,POLITICS,OTHER,1
1106,unknown,True,OTHER,IDENTITY,3
1107,unknown,True,MUSIC,TEMPORAL,2
1110,unknown,True,MOVIES_AND_TV,IDENTITY,3
1114,unknown,False,POLITICS,NUMERICAL,3
1115,unknown,True,OTHER,OTHER,3
1116,unknown,True,MOVIES_AND_TV,TEMPORAL,3
